Symbol,Start_Date,End_Date,Min_Close,Max_Close,Mean_Daily_Return,Volatility,Sharpe_Ratio,Max_Drawdown,Profit_Factor,Win_Loss_Ratio,Volume_Mean
AAPL,2020-03-20,2025-03-18,54.44989776611328,258.7355041503906,0.0012397671085941687,0.018469227680022966,0.0671260937421411,-0.0800609622847221,19.418551936063377,19.418551936063377,84927447.01195219
NVDA,2020-03-20,2025-03-18,5.124868869781494,149.41624450683594,0.003041405505609597,0.033480362690623815,0.09084147426101041,-0.169681648092358,22.47692986785766,22.47692986785766,437611595.4581673
MSFT,2020-03-20,2025-03-18,130.1571807861328,464.8543395996094,0.0010052414051635752,0.01740757983870132,0.05774733848577141,-0.077156256327969,16.3379197237978,16.3379197237978,27680012.98804781
AMZN,2020-03-20,2025-03-18,81.81999969482422,242.05999755859372,0.0008330797449033068,0.02216715806109806,0.03758171176508676,-0.140494377749234,7.4357566248905815,7.4357566248905815,65686362.2310757
META,2020-03-20,2025-03-18,88.4929428100586,736.0151977539062,0.0014723905481867474,0.027597318827422765,0.0533526665178673,-0.2639009380207634,6.996480426609588,6.996480426609588,22980649.32270916
GOOGL,2020-03-20,2025-03-18,52.455711364746094,206.14259338378903,0.0010767124938797863,0.019728863633129336,0.05457549476249288,-0.0950940641613595,14.198546241899827,14.198546241899827,32425038.007968128
AVGO,2020-03-20,2025-03-18,16.969955444335938,249.3319549560547,0.002238840846853412,0.025311310121719176,0.08845219137559786,-0.1739680939776795,16.13805358075825,16.13805358075825,24689897.37051793
TSLA,2020-03-20,2025-03-18,28.50200080871582,479.8599853515625,0.0024597233350224863,0.04036892996207082,0.060931100659184015,-0.2106282432039079,14.644251954055939,14.644251954055939,115725120.47808765
GOOG,2020-03-20,2025-03-18,52.58195114135742,207.4736328125,0.0010821568276385446,0.01965804723368541,0.055049050130686165,-0.0963499491436236,14.084331895555984,14.084331895555984,26419060.717131473
JPM,2020-03-20,2025-03-18,68.4809341430664,279.95001220703125,0.001103738134914869,0.018203376614804423,0.06063370320082385,-0.0834432387079006,16.58717521773513,16.58717521773513,12793299.203187251
LLY,2020-03-20,2025-03-18,111.9665069580078,956.78369140625,0.001758063130772515,0.019614000129891666,0.08963307429029906,-0.0909265570856417,24.246064479404623,24.246064479404623,3258174.422310757
V,2020-03-20,2025-03-18,130.9986114501953,362.7099914550781,0.0008122538732954204,0.015973891441415294,0.05084884145321664,-0.075529188569809,13.485731495328217,13.485731495328217,7549470.438247012
XOM,2020-03-20,2025-03-18,24.80937385559082,123.24581909179688,0.0013858160902936656,0.020259021487042804,0.06840488772767239,-0.0882528880640733,19.691291869865726,19.691291869865726,21836172.66932271
COST,2020-03-20,2025-03-18,258.3775939941406,1076.8599853515625,0.0010702332771965056,0.014317290754049104,0.07475110309496442,-0.1245133000121938,10.778547588675158,10.778547588675158,2219073.625498008
MA,2020-03-20,2025-03-18,197.66632080078125,576.3099975585938,0.0009144466617677067,0.017905424243608765,0.05107092964268149,-0.0811392139646041,14.132699317951781,14.132699317951781,3319828.207171315
UNH,2020-03-20,2025-03-18,181.06378173828125,620.21044921875,0.0009090698165261866,0.016750757997173772,0.05427036893969616,-0.0811200163269819,14.05292554834784,14.05292554834784,3457359.920318725
NFLX,2020-03-20,2025-03-18,166.3699951171875,1058.5999755859375,0.0012326822407463856,0.02823473922813688,0.043658354015112553,-0.3511660252264417,4.401859573115603,4.401859573115603,6215664.462151394
WMT,2020-03-20,2025-03-18,33.98200607299805,105.0500030517578,0.0007914177771378351,0.013172750639907445,0.06007991791328677,-0.1137574804036298,8.724155009494902,8.724155009494902,22161290.996015936
PG,2020-03-20,2025-03-18,86.34270477294922,178.61087036132812,0.0005574309742104351,0.01144897130609495,0.04868830214586024,-0.0623224427125166,11.216159239527007,11.216159239527007,7134865.258964144
JNJ,2020-03-20,2025-03-18,96.58907318115234,170.24354553222656,0.0004262779319139501,0.011277053615256395,0.03780047044710785,-0.0729834638990976,7.3242964647325115,7.3242964647325115,8141408.12749004
HD,2020-03-20,2025-03-18,134.92538452148438,428.6497497558594,0.0008877752394354497,0.01605709175357185,0.05528866952123923,-0.0885057418532511,12.578507641887644,12.578507641887644,3865911.155378486
ABBV,2020-03-20,2025-03-18,52.260475158691406,216.66000366210935,0.0011781216291239208,0.014495958086354439,0.0812724224301482,-0.1256641875683759,11.756448288956937,11.756448288956937,6527360.717131474
BAC,2020-03-20,2025-03-18,15.967167854309082,47.440616607666016,0.0009032832549085037,0.02039294504562679,0.04429390913806293,-0.1003757715556639,11.284767071773983,11.284767071773983,48465714.02390438
CRM,2020-03-20,2025-03-18,127.55754089355467,367.4507446289063,0.0008512513422217794,0.02433075762159805,0.034986635248305475,-0.197371382947766,5.4084293639905,5.4084293639905,6851807.64940239
