Symbol, Total Return         , Annual Return        , Sharpe Ratio       , Max Drawdown         , Win Rate           , Profit Factor
AAPL  , 0.03777545481304534  , 0.06255399733271028  , 2.4910411821745955 , -0.003249475143475733, 0.6666666666666666 ,  4.866578119123228
NVDA  , 0.011423279352833493 , 0.01876048698757815  , 0.0373425568727628 , -0.24808988807712384 , 0.512987012987013  ,  1.0064344459804013
MSFT  , -0.013981295900466262, -0.022776533800303533, -0.3313953403011252, -0.06643295035622832 , 0.5149253731343284 ,  0.9391371062324235
META  , 0.0                  , 0.0                  , 0.0                , 0.0                  , 0.0                ,  0.0
GOOGL , 0.035807577715176286 , 0.0592589380327313   , 1.0192100142699387 , -0.028386929778440706, 0.5675675675675675 ,  1.2813705639912831
AVGO  , 0.1842515423072082   , 0.3188063324964556   , 1.3056133280798885 , -0.07813534013869272 , 0.4954128440366973 ,  1.3996712295634122
GOOG  , 0.02268810982789282  , 0.03739327699301542  , 0.5384070107199667 , -0.03869323608434194 , 0.5205479452054794 ,  1.1405450630565666
JPM   , 0.18872928736031902  , 0.32697588336167094  , 1.7833218424769077 , -0.06423614982722281 , 0.5909090909090909 ,  1.4373584544053812
LLY   , 0.1236247093322489   , 0.21013779102183605  , 2.354504860546816  , -0.020749879695988294, 0.574468085106383  ,  2.647334034160504
V     , 0.0                  , 0.0                  , 0.0                , 0.0                  , 0.0                ,  0.0
COST  , 0.007185402521552531 , 0.011784789783627625 , 0.12431615263059123, -0.06325743209114132 , 0.5                ,  1.0210476236665122
MA    , 0.12552153101725616  , 0.21348245914699704  , 1.7395058802468037 , -0.04884559012782308 , 0.5714285714285714 ,  1.3592356004783523
UNH   , 0.009288786754877432 , 0.015244705907693223 , 2.0906241087926016 , -0.000103021698106609, 0.75               , 91.39225991373591
WMT   , 0.3014945040962327   , 0.5391086579539195   , 3.270123058405829  , -0.06289612085637941 , 0.6013071895424836 ,  1.7825109547083609
PG    , 0.008726243284072233 , 0.014318912333427747 , 0.39408609509766485, -0.03189361539018021 , 0.578125           ,  1.1226243047209983
JNJ   , 0.0                  , 0.0                  , 0.0                , 0.0                  , 0.0                ,  0.0
HD    , 0.08745738844694784  , 0.14705351229593977  , 1.1636595763223971 , -0.08820375237319444 , 0.5324675324675324 ,  1.211893043669977
ABBV  , 0.0                  , 0.0                  , 0.0                , 0.0                  , 0.0                ,  0.0
BAC   , -0.008671378271311703, -0.014150336837748578, -0.6907667518583184, -0.015564974704226353, 0.38095238095238093,  0.7236819317068297
CRM   , 0.0                  , 0.0                  , 0.0                , 0.0                  , 0.0                ,  0.0
MMM   , 0.06305443251478482  , 0.10523456589453528  , 2.1133337992948986 , -0.021073414787817768, 0.5671641791044776 ,  1.671183454967739
