Symbol,pred_prob,predicted_class,confidence,position,Signal,position_size,price,market_return,strategy_return,sized_strategy_return,cumulative_market_return,cumulative_strategy_return,drawdown
AAPL,0.7970805,1,0.7970805,1,Buy,0.5941610336303711,217.2909393310547,0.0071046245936448,0.0071046245936448,0.0039163022127726,0.0051312561314729,0.0203765598688143,0.0
AAPL,0.80898273,1,0.80898273,1,Buy,0.6179654598236084,221.02682495117188,0.0170468842180276,0.0170468842180276,0.0101285943471605,0.0224124893834074,0.0307640566929587,0.0
AAPL,0.81137156,1,0.81137156,1,Buy,0.6227431297302246,221.4763336181641,0.0020316637877283,0.0020316637877283,0.0012554980467905,0.0244917993283448,0.0320589916769122,0.0
AAPL,0.80239695,1,0.80239695,1,Buy,0.604793906211853,224.47303771972656,0.0134398629167407,0.0134398629167407,0.0083695822959163,0.0383537715170183,0.0407331432193496,0.0
AAPL,0.78499866,1,0.78499866,1,Buy,0.5699973106384277,225.80157470703125,0.0059010248672278,0.0059010248672278,0.003568903880104,0.0444992373840154,0.0444540556122154,0.0
AAPL,0.7584734,1,0.7584734,1,Buy,0.5169467926025391,225.64175415039065,-0.0007080426405765,-0.0007080426405765,-0.0004035824009459,0.0437599491405831,0.0440326173850198,-0.0004214382271956
AAPL,0.73005784,1,0.73005784,1,Buy,0.4601156711578369,226.2610626220703,0.0027408939993588,0.0027408939993588,0.001416896361832,0.0466247087296787,0.045512951894858,0.0
AAPL,0.68197495,1,0.68197495,1,Buy,0.3639498949050903,226.15118408203125,-0.0004857452157849,-0.0004857452157849,-0.0002234989859726,0.0461164392394213,0.0452793069209682,-0.0002336449738897
AAPL,0.6365888,1,0.6365888,1,Buy,0.2731776237487793,224.2832489013672,-0.0082939746689459,-0.0082939746689459,-0.0030185912091083,0.0374758579050447,0.0421287934424403,-0.0033841584524176
AAPL,0.57928336,0,0.57928336,0,Hold,0.0,226.5906982421875,0.0102355414441201,0.0102355414441201,0.0027961208894868,0.0481495172004509,0.0450467891645725,-0.0004661627302855
AAPL,0.52033615,0,0.52033615,0,Hold,0.0,226.93032836914065,0.0014977483755513,0.0,0.0,0.0497205576551309,0.0450467891645725,-0.0004661627302855
AAPL,0.4592838,0,0.5407162,0,Hold,0.0,227.7793884277344,0.0037345190305966,0.0,0.0,0.0536480882086491,0.0450467891645725,-0.0004661627302855
AAPL,0.45092818,0,0.5490718,0,Hold,0.0,226.2410888671875,-0.0067763703353828,-0.0,-0.0,0.0465323153450449,0.0450467891645725,-0.0004661627302855
AAPL,0.44627365,0,0.5537263,0,Hold,0.0,229.53746032714844,0.0144650464250667,0.0,0.0,0.0617804706359497,0.0450467891645725,-0.0004661627302855
AAPL,0.45332354,0,0.54667646,0,Hold,0.0,228.7483367919922,-0.0034438087325499,-0.0,-0.0,0.0581301908195142,0.0450467891645725,-0.0004661627302855
AAPL,0.46403155,0,0.5359684,0,Hold,0.0,222.52517700195312,-0.0275821830048176,-0.0,-0.0,0.0293434754777444,0.0450467891645725,-0.0004661627302855
AAPL,0.47101587,0,0.5289841,0,Hold,0.0,220.6072998046875,-0.0086560533147035,-0.0,-0.0,0.0204718753901929,0.0450467891645725,-0.0004661627302855
AAPL,0.47617418,0,0.5238258,0,Hold,0.0,222.13560485839844,0.0069038311304149,0.0,0.0,0.0275414162698894,0.0450467891645725,-0.0004661627302855
AAPL,0.47080013,0,0.52919984,0,Hold,0.0,220.57733154296875,-0.0070396847374335,-0.0,-0.0,0.0203332500216515,0.0450467891645725,-0.0004661627302855
AAPL,0.47058243,0,0.5294176,0,Hold,0.0,220.667221069336,0.0004074363165667,0.0,0.0,0.0207490555440941,0.0450467891645725,-0.0004661627302855
AAPL,0.46196705,0,0.53803295,0,Hold,0.0,219.8681030273437,-0.0036279447970664,-0.0,-0.0,0.0170525437437505,0.0450467891645725,-0.0004661627302855
AAPL,0.45853868,0,0.54146135,0,Hold,0.0,222.4152984619141,0.0115185131913332,0.0,0.0,0.028835205987487,0.0450467891645725,-0.0004661627302855
AAPL,0.45008475,0,0.54991525,0,Hold,0.0,222.52517700195312,0.0004939022108883,0.0,0.0,0.0293434754777441,0.0450467891645725,-0.0004661627302855
AAPL,0.4559881,0,0.5440119,0,Hold,0.0,222.25547790527344,-0.0012127286866379,-0.0,-0.0,0.0280959177440542,0.0450467891645725,-0.0004661627302855
AAPL,0.461907,0,0.538093,0,Hold,0.0,216.082275390625,-0.028168281838407,-0.0,-0.0,-0.0004597082613588,0.0450467891645725,-0.0004661627302855
