Date,pred_prob,predicted_class,confidence,position,Signal,position_size,price,market_return,strategy_return,sized_strategy_return,cumulative_market_return,cumulative_strategy_return,drawdown
2024-06-18,0.4741794,0,0.5258206,0,Hold,0.0,39.51118469238281,0.012075762999772803,0.0,0.0,0.012148969403406262,0.0,0.0
2024-06-20,0.4740032,0,0.5259968,0,Hold,0.0,39.51118469238281,0.0,0.0,0.0,0.012148969403406262,0.0,0.0
2024-06-21,0.47029966,0,0.52970034,0,Hold,0.0,39.01716995239258,-0.012581984159630953,-0.0,-0.0,-0.0005060930515448092,0.0,0.0
2024-06-24,0.469401,0,0.530599,0,Hold,0.0,39.54082489013672,0.013331875257894386,0.0,0.0,0.012908255561062454,0.0,0.0
2024-06-25,0.4702293,0,0.52977073,0,Hold,0.0,38.90848922729492,-0.016121220813828496,-0.0,-0.0,-0.0032901422962847704,0.0,0.0
2024-06-26,0.4684869,0,0.5315131,0,Hold,0.0,38.53303527832031,-0.009696526330819554,-0.0,-0.0,-0.012908060120610299,0.0,0.0
2024-06-27,0.4684077,0,0.5315923,0,Hold,0.0,38.78004455566406,0.0063898661993722974,0.0,0.0,-0.006580480033021696,0.0,0.0
2024-06-28,0.46829802,0,0.531702,0,Hold,0.0,39.29381942749024,0.013161441283534255,0.0,0.0,0.006580773193700429,0.0,0.0
2024-07-01,0.47038588,0,0.5296141,0,Hold,0.0,39.53094100952149,0.0060164419399442,0.0,0.0,0.012655062454951072,0.0,0.0
2024-07-02,0.4716337,0,0.5283663,0,Hold,0.0,40.4399299621582,0.022733980284157653,0.0,0.0,0.03594042427776922,0.0,0.0
2024-07-03,0.47305876,0,0.52694124,0,Hold,0.0,40.4102897644043,-0.0007332125795583798,-0.0,-0.0,0.03518113812011303,0.0,0.0
2024-07-05,0.4698136,0,0.5301864,0,Hold,0.0,39.92615509033203,-0.012052824488574166,-0.0,-0.0,0.02277917105104743,0.0,0.0
2024-07-08,0.47127193,0,0.52872807,0,Hold,0.0,40.133636474609375,0.005183172344698158,0.0,0.0,0.028094174154641882,0.0,0.0
2024-07-09,0.47192523,0,0.52807474,0,Hold,0.0,40.9240608215332,0.019503376690399903,0.0,0.0,0.04834229362660869,0.0,0.0
2024-07-10,0.47247854,0,0.5275215,0,Hold,0.0,41.240230560302734,0.007696075606585217,0.0,0.0,0.05644154141539537,0.0,0.0
