,UNITID,XTUIT1,TUITION1,XFEE1,FEE1,XHRCHG1,HRCHG1,XTUIT2,TUITION2,XFEE2,FEE2,XHRCHG2,HRCHG2,XTUIT3,TUITION3,XFEE3,FEE3,XHRCHG3,HRCHG3,XTUIT5,TUITION5,XFEE5,FEE5,XHRCHG5,HRCHG5,XTUIT6,TUITION6,XFEE6,FEE6,XHRCHG6,HRCHG6,XTUIT7,TUITION7,XFEE7,FEE7,XHRCHG7,HRCHG7,XISPRO1,ISPROF1,XISPFE1,ISPFEE1,XOSPRO1,OSPROF1,XOSPFE1,OSPFEE1,XISPRO2,ISPROF2,XISPFE2,ISPFEE2,XOSPRO2,OSPROF2,XOSPFE2,OSPFEE2,XISPRO3,ISPROF3,XISPFE3,ISPFEE3,XOSPRO3,OSPROF3,XOSPFE3,OSPFEE3,XISPRO4,ISPROF4,XISPFE4,ISPFEE4,XOSPRO4,OSPROF4,XOSPFE4,OSPFEE4,XISPRO5,ISPROF5,XISPFE5,ISPFEE5,XOSPRO5,OSPROF5,XOSPFE5,OSPFEE5,XISPRO6,ISPROF6,XISPFE6,ISPFEE6,XOSPRO6,OSPROF6,XOSPFE6,OSPFEE6,XISPRO7,ISPROF7,XISPFE7,ISPFEE7,XOSPRO7,OSPROF7,XOSPFE7,OSPFEE7,XISPRO8,ISPROF8,XISPFE8,ISPFEE8,XOSPRO8,OSPROF8,XOSPFE8,OSPFEE8,XISPRO9,ISPROF9,XISPFE9,ISPFEE9,XOSPRO9,OSPROF9,XOSPFE9,OSPFEE9,XCHG1AT0,CHG1AT0,XCHG1AF0,CHG1AF0,XCHG1AY0,CHG1AY0,XCHG1AT1,CHG1AT1,XCHG1AF1,CHG1AF1,XCHG1AY1,CHG1AY1,XCHG1AT2,CHG1AT2,XCHG1AF2,CHG1AF2,XCHG1AY2,CHG1AY2,XCHG1AT3,CHG1AT3,XCHG1AF3,CHG1AF3,XCHG1AY3,CHG1AY3,CHG1TGTD,CHG1FGTD,XCHG2AT0,CHG2AT0,XCHG2AF0,CHG2AF0,XCHG2AY0,CHG2AY0,XCHG2AT1,CHG2AT1,XCHG2AF1,CHG2AF1,XCHG2AY1,CHG2AY1,XCHG2AT2,CHG2AT2,XCHG2AF2,CHG2AF2,XCHG2AY2,CHG2AY2,XCHG2AT3,CHG2AT3,XCHG2AF3,CHG2AF3,XCHG2AY3,CHG2AY3,CHG2TGTD,CHG2FGTD,XCHG3AT0,CHG3AT0,XCHG3AF0,CHG3AF0,XCHG3AY0,CHG3AY0,XCHG3AT1,CHG3AT1,XCHG3AF1,CHG3AF1,XCHG3AY1,CHG3AY1,XCHG3AT2,CHG3AT2,XCHG3AF2,CHG3AF2,XCHG3AY2,CHG3AY2,XCHG3AT3,CHG3AT3,XCHG3AF3,CHG3AF3,XCHG3AY3,CHG3AY3,CHG3TGTD,CHG3FGTD,XCHG4AY0,CHG4AY0,XCHG4AY1,CHG4AY1,XCHG4AY2,CHG4AY2,XCHG4AY3,CHG4AY3,XCHG5AY0,CHG5AY0,XCHG5AY1,CHG5AY1,XCHG5AY2,CHG5AY2,XCHG5AY3,CHG5AY3,XCHG6AY0,CHG6AY0,XCHG6AY1,CHG6AY1,XCHG6AY2,CHG6AY2,XCHG6AY3,CHG6AY3,XCHG7AY0,CHG7AY0,XCHG7AY1,CHG7AY1,XCHG7AY2,CHG7AY2,XCHG7AY3,CHG7AY3,XCHG8AY0,CHG8AY0,XCHG8AY1,CHG8AY1,XCHG8AY2,CHG8AY2,XCHG8AY3,CHG8AY3,XCHG9AY0,CHG9AY0,XCHG9AY1,CHG9AY1,XCHG9AY2,CHG9AY2,XCHG9AY3,CHG9AY3 
186,111896,R,1380,R,4,R,46,R,1380,R,4,R,46,R,9510,R,4,R,317,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,1288,R,2,R,1290,R,1380,R,2,R,1382,R,1380,R,4,R,1384,R,1380,R,4,R,1384,.,.,R,1288,R,2,R,1290,R,1380,R,2,R,1382,R,1380,R,4,R,1384,R,1380,R,4,R,1384,.,.,R,7700,R,2,R,7702,R,9870,R,2,R,9872,R,9330,R,4,R,9334,R,9510,R,4,R,9514,.,.,R,1971,R,1080,R,1125,R,1125,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,14189,R,16580,R,17253,R,17253,R,4690,R,4642,R,4761,R,4761,R,4690,R,4163,R,4275,R,4275
187,111920,R,1104,R,46,R,46,R,1104,R,46,R,46,R,8112,R,46,R,338,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,1104,R,40,R,1144,R,1104,R,46,R,1150,R,1104,R,46,R,1150,R,1104,R,46,R,1150,.,.,R,1104,R,40,R,1144,R,1104,R,46,R,1150,R,1104,R,46,R,1150,R,1104,R,46,R,1150,.,.,R,7872,R,40,R,7912,R,8064,R,46,R,8110,R,8664,R,46,R,8710,R,8112,R,46,R,8158,.,.,R,1971,R,1080,R,1125,R,1152,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,15084,R,22066,R,22066,R,22066,R,5274,R,5242,R,5301,R,5242,R,4698,R,4683,R,4734,R,4683
188,111939,R,1104,R,80,R,46,R,1104,R,80,R,46,R,9312,R,80,R,388,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,1104,R,68,R,1172,R,1104,R,76,R,1180,R,1104,R,80,R,1184,R,1104,R,80,R,1184,.,.,R,1104,R,68,R,1172,R,1104,R,76,R,1180,R,1104,R,80,R,1184,R,1104,R,80,R,1184,.,.,R,7944,R,68,R,8012,R,8448,R,76,R,8524,R,8880,R,80,R,8960,R,9312,R,80,R,9392,.,.,R,1972,R,1080,R,1126,R,1152,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,15084,R,16580,R,17252,R,17784,R,4674,R,4642,R,4762,R,4860,R,4698,R,4642,R,4274,R,4374
189,111948,R,60288,R,384,R,1875,R,60288,R,384,R,1875,R,60288,R,384,R,1875,R,37603,R,0,R,1540,R,37603,Z,0,R,1540,R,37603,Z,0,R,1540,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,86580,R,0,R,86580,R,0,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,Y,.,R,59500,R,68,R,59500,R,68,R,54540,R,384,R,54924,R,56830,R,384,R,57214,R,58250,R,384,R,58634,R,60288,R,384,R,60672,.,.,R,54540,R,384,R,54924,R,56830,R,384,R,57214,R,58250,R,384,R,58634,R,60288,R,384,R,60672,.,.,R,54540,R,384,R,54924,R,56830,R,384,R,57214,R,58250,R,384,R,58634,R,60288,R,384,R,60672,.,.,R,1600,R,1600,R,1600,R,1600,R,15518,R,16138,R,16542,R,16954,R,3070,R,3320,R,3320,R,3320,R,11206,R,12430,R,12978,R,14524,R,4570,R,4570,R,4570,R,4070,R,4570,R,4570,R,4570,R,4070
190,111966,R,14424,R,530,R,601,R,14424,R,530,R,601,R,14424,R,530,R,601,R,23064,R,5200,R,961,R,23064,R,5200,R,961,R,23064,R,5200,R,961,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13872,R,100,R,13972,R,14424,R,530,R,14954,R,14424,R,530,R,14954,R,14424,R,530,R,14954,.,.,R,13872,R,100,R,13972,R,14424,R,530,R,14954,R,14424,R,530,R,14954,R,14424,R,530,R,14954,.,.,R,13872,R,100,R,13972,R,14424,R,530,R,14954,R,14424,R,530,R,14954,R,14424,R,530,R,14954,.,.,R,1972,R,1080,R,1124,R,1152,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,15086,R,16580,R,17253,R,17782,R,7476,R,7430,R,7547,R,6012,R,4780,R,5416,R,4761,R,6012
191,112075,R,39330,R,850,R,1116,R,39330,R,850,R,1116,R,39330,R,850,R,1116,R,8528,R,0,R,663,R,8528,Z,0,R,663,R,8528,Z,0,R,663,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,35990,R,750,R,36740,R,37250,R,750,R,38000,R,37990,R,750,R,38740,R,39330,R,850,R,40180,.,.,R,35990,R,750,R,36740,R,37250,R,750,R,38000,R,37990,R,750,R,38740,R,39330,R,850,R,40180,.,.,R,35990,R,750,R,36740,R,37250,R,750,R,38000,R,37990,R,750,R,38740,R,39330,R,850,R,40180,.,.,R,1900,R,1000,R,1100,R,1100,R,11870,R,12270,R,12560,R,12770,R,3860,R,3100,R,3100,R,3370,R,15000,R,16400,R,16500,R,17700,R,4800,R,4750,R,4900,R,5000,R,4800,R,4300,R,4400,R,4500
192,112084,R,24500,R,1800,R,1020,R,24500,R,1800,R,1020,R,24500,R,1800,R,1020,R,7440,R,780,R,620,R,7440,R,780,R,620,R,7440,R,780,R,620,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,30760,R,1586,R,32346,R,31680,R,1632,R,33312,R,32630,R,1680,R,34310,R,24500,R,1800,R,26300,.,.,R,30760,R,1586,R,32346,R,31680,R,1632,R,33312,R,32630,R,1680,R,34310,R,24500,R,1800,R,26300,.,.,R,30760,R,1586,R,32346,R,31680,R,1632,R,33312,R,32630,R,1680,R,34310,R,24500,R,1800,R,26300,.,.,R,1970,R,2160,R,1126,R,1000,R,12222,R,12588,R,12970,R,11700,R,3916,R,4162,R,4276,R,4300,R,15084,R,13780,R,17254,R,19200,R,4474,R,4642,R,4762,R,5000,R,4898,R,5418,R,4276,R,5000
193,112127,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,16800,R,860,R,700,R,16800,R,860,R,700,R,16800,R,860,R,700,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
194,112172,R,1104,R,94,R,46,R,1104,R,94,R,46,R,9216,R,94,R,384,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,1104,R,86,R,1190,R,1104,R,90,R,1194,R,1104,R,92,R,1196,R,1104,R,94,R,1198,.,.,R,1104,R,86,R,1190,R,1104,R,90,R,1194,R,1104,R,92,R,1196,R,1104,R,94,R,1198,.,.,R,7560,R,86,R,7646,R,8472,R,90,R,8562,R,8712,R,92,R,8804,R,9216,R,94,R,9310,.,.,R,1971,R,1971,R,1125,R,1152,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,15084,R,17253,R,17253,R,17784,R,5244,R,4761,R,4761,R,4860,R,4698,R,4698,R,4275,R,4374
195,112190,R,0,R,1696,R,46,R,0,R,1696,R,46,R,10548,R,1696,R,293,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,0,R,1708,R,1708,R,0,R,1165,R,1165,R,0,R,1168,R,1168,R,0,R,1696,R,1696,.,.,R,0,R,1708,R,1708,R,0,R,1165,R,1165,R,0,R,1168,R,1168,R,0,R,1696,R,1696,.,.,R,8748,R,1960,R,10708,R,6960,R,1357,R,8317,R,7536,R,1168,R,8704,R,10548,R,1696,R,12244,.,.,R,1971,R,1971,R,1971,R,1233,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,15084,R,16580,R,17253,R,19029,R,3996,R,3784,R,3843,R,5201,R,3996,R,3784,R,3843,R,4680
196,112251,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,35640,R,740,R,1980,R,35640,R,740,R,1980,R,35640,R,740,R,1980,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,.,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.
197,112260,R,60480,R,235,R,2520,R,60480,R,235,R,2520,R,60480,R,235,R,2520,R,65574,R,0,A,.,R,65574,Z,0,A,.,R,65574,Z,0,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,56190,R,285,R,56475,R,56190,R,285,R,56475,R,57876,R,235,R,58111,R,60480,R,235,R,60715,.,.,R,56190,R,285,R,56475,R,56190,R,285,R,56475,R,57876,R,235,R,58111,R,60480,R,235,R,60715,.,.,R,56190,R,285,R,56475,R,56190,R,285,R,56475,R,57876,R,235,R,58111,R,60480,R,235,R,60715,.,.,R,1200,R,1200,R,1200,R,1200,R,17300,R,17300,R,17906,R,18712,R,1500,R,1500,R,1500,R,1500,R,15084,R,17300,R,17906,R,18172,R,1650,R,2130,R,2130,R,1500,R,8436,R,10130,R,10410,R,10153
198,112385,R,1104,R,70,R,46,R,1104,R,70,R,46,R,8664,R,70,R,361,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,1104,R,46,R,1150,R,1104,R,56,R,1160,R,1104,R,66,R,1170,R,1104,R,70,R,1174,.,.,R,1104,R,46,R,1150,R,1104,R,56,R,1160,R,1104,R,66,R,1170,R,1104,R,70,R,1174,.,.,R,6624,R,46,R,6670,R,7200,R,56,R,7256,R,7944,R,66,R,8010,R,8664,R,70,R,8734,.,.,R,1917,R,1080,R,643,R,1152,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,13779,R,16580,R,16757,R,17784,R,4248,R,4642,R,4761,R,4860,R,4365,R,4163,R,4163,R,4374
199,112394,R,21480,R,1000,R,895,R,21480,R,1000,R,895,R,21480,R,1000,R,895,R,10479,R,100,R,499,R,10479,R,100,R,499,R,10479,R,100,R,499,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,A,.,R,19800,R,1000,R,20800,R,20784,R,1000,R,21784,R,20784,R,1000,R,21784,R,21480,R,1000,R,22480,.,.,R,19800,R,1000,R,20800,R,20784,R,1000,R,21784,R,20784,R,1000,R,21784,R,21480,R,1000,R,22480,.,.,R,19800,R,1000,R,20800,R,20784,R,1000,R,21784,R,20784,R,1000,R,21784,R,21480,R,1000,R,22480,.,.,R,1752,R,960,R,1000,R,1024,R,16238,R,17606,R,17742,R,18486,R,3304,R,2608,R,2648,R,2991,R,13408,R,14736,R,15336,R,15808,R,4688,R,4120,R,4232,R,4599,R,4755,R,3696,R,3800,R,4167
