Date,pred_prob,predicted_class,confidence,position,Signal,position_size,price,market_return,strategy_return,sized_strategy_return,cumulative_market_return,cumulative_strategy_return,drawdown
2024-06-20,0.68886995,1,0.68886995,1,Buy,0.37773990631103516,444.0093688964844,-0.0014349154868226119,-0.0014349154868226119,-0.000543232149551707,-0.0059548564246114655,-0.0022458044351851836,-0.000542159402256992
2024-06-21,0.68848366,1,0.68848366,1,Buy,0.37696731090545654,448.0738830566406,0.009112473026919915,0.009112473026919915,0.0034421447074505637,0.003144750126345297,0.0011945275518283616,0.0
2024-06-24,0.6836428,1,0.6836428,1,Buy,0.3672856092453003,445.971923828125,-0.004702137374179915,-0.004702137374179915,-0.001772552081452647,-0.0015611018431578305,-0.000578569973820553,-0.0017730975256489145
2024-06-25,0.67974675,1,0.67974675,1,Buy,0.3594934940338135,449.2394409179688,0.007300022607166817,0.007300022607166817,0.00268119325077773,0.005754193108345795,0.002104667550781425,0.0
2024-06-26,0.6761217,1,0.6761217,1,Buy,0.35224342346191406,450.4448547363281,0.002679638947723373,0.002679638947723373,0.0009633127680661667,0.008452865334827697,0.0030704728835895256,0.0
2024-06-27,0.67023885,1,0.67023885,1,Buy,0.34047770500183105,451.1322326660156,0.0015248348088667137,0.0015248348088667137,0.0005371130332891046,0.00999176235068333,0.0036093798218970186,0.0
2024-06-28,0.6687441,1,0.6687441,1,Buy,0.33748817443847656,445.254638671875,-0.013114155099941543,-0.013114155099941543,-0.004465077431466155,-0.003166954953647827,-0.0008618242053572978,-0.004471204027254316
2024-07-01,0.664673,1,0.664673,1,Buy,0.3293459415435791,454.9975280761719,0.021645645892207608,0.021645645892207608,0.0073051495167028545,0.018645359324322763,0.00646375420189238,0.0
2024-07-02,0.6649434,1,0.6649434,1,Buy,0.329886794090271,457.537841796875,0.005567609468474982,0.005567609468474982,0.001833669582541839,0.02433259633803453,0.00831096924734287,0.0
2024-07-03,0.6586896,1,0.6586896,1,Buy,0.3173792362213135,459.0221862792969,0.0032389494078197433,0.0032389494078197433,0.0010684866363662368,0.027655736630798122,0.009388911824350421,0.0
2024-07-05,0.65816826,1,0.65816826,1,Buy,0.3163365125656128,465.7864379882813,0.01462869648813758,0.01462869648813758,0.004642844518318516,0.04279949717339404,0.014086243653158803,0.0
2024-07-08,0.6537721,1,0.6537721,1,Buy,0.3075442314147949,464.471435546875,-0.0028271801931746567,-0.0028271801931746567,-0.0008943403227034464,0.03985547868585959,0.013179710869595684,-0.0009065327835631187
2024-07-09,0.65467644,1,0.65467644,1,Buy,0.3093528747558594,457.796875,-0.014474479937605072,-0.014474479937605072,-0.00445154280753962,0.024912518104620585,0.00867952183838372,-0.005406721814775084
2024-07-10,0.6542405,1,0.6542405,1,Buy,0.30848097801208496,464.4814147949219,0.014495964877435027,0.014495964877435027,0.004484368407194494,0.03987782015825281,0.013212969647030004,-0.0008732740061287991
2024-07-11,0.65806615,1,0.65806615,1,Buy,0.3161323070526123,452.9752197265625,-0.025084124851234933,-0.025084124851234933,-0.007737975366686197,0.014117829198692089,0.005403008260342901,-0.008683235392815902
2024-07-12,0.6640421,1,0.6640421,1,Buy,0.32808423042297363,451.8295593261719,-0.002532393813949017,-0.002532393813949017,-0.0008005714987694666,0.011552932516387004,0.004598433369987331,-0.009487810283171472
2024-07-15,0.67621374,1,0.67621374,1,Buy,0.35242748260498047,452.238037109375,0.0009036444013913038,0.0009036444013913038,0.0002964714780064946,0.012467429788507012,0.004896312306454043,-0.00918993134670476
2024-07-16,0.6834569,1,0.6834569,1,Buy,0.3669137954711914,447.81488037109375,-0.009828738422466163,-0.009828738422466163,-0.0034639175394125966,0.0025648966823050845,0.0014214561270842196,-0.012664787526074583
2024-07-17,0.69104934,1,0.69104934,1,Buy,0.3820986747741699,441.8376159667969,-0.01343750367649458,-0.01343750367649458,-0.004930405475600716,-0.010816962055776203,-0.0035038059567116253,-0.01759004960987043
2024-07-18,0.6973223,1,0.6973223,1,Buy,0.3946446180343628,438.6995849609375,-0.0071275677789747575,-0.0071275677789747575,-0.0027234342027093283,-0.01784236444653242,-0.0062140055741214395,-0.020300249227280243
2024-07-19,0.7055895,1,0.7055895,1,Buy,0.41117894649505615,435.4519348144531,-0.0074304397242033965,-0.0074304397242033965,-0.0029323830467856055,-0.025113181420886255,-0.00912389823121218,-0.023210141884370983
2024-07-22,0.7094211,1,0.7094211,1,Buy,0.4188421964645386,441.25982666015625,0.013249455669151687,0.013249455669151687,0.00544789722367474,-0.012110512810579954,-0.0037109759329670977,-0.0177972195861259
2024-07-23,0.7150799,1,0.7150799,1,Buy,0.4301598072052002,443.16259765625,0.004302862251193946,0.004302862251193946,0.0018022202763744214,-0.007850602095848869,-0.0019138247079040216,-0.016000068361062825
2024-07-24,0.7166569,1,0.7166569,1,Buy,0.43331384658813477,427.2730712890625,-0.03651342025800245,-0.03651342025800245,-0.015706605818584785,-0.04342396523967518,-0.017467900208545273,-0.031554143861704076
2024-07-25,0.7200959,1,0.7200959,1,Buy,0.44019174575805664,416.8128967285156,-0.024785887836695435,-0.024785887836695435,-0.01074006839962056,-0.06684213262813543,-0.02796389740943339,-0.042050141062592195
2024-07-26,0.7265874,1,0.7265874,1,Buy,0.4531748294830322,423.6568298339844,0.01628633171393512,0.01628633171393512,0.007169108789151903,-0.05151998191912166,-0.02097022559990047,-0.035056469253059275
2024-07-29,0.7267374,1,0.7267374,1,Buy,0.453474760055542,425.111328125,0.003427319229993263,0.003427319229993263,0.0015531748076361143,-0.0482636610759013,-0.01944843972455801,-0.03353468337771681
2024-07-30,0.7284038,1,0.7284038,1,Buy,0.45680761337280273,421.3157958984375,-0.008968421637669992,-0.008968421637669992,-0.00406695285021933,-0.05676107271042463,-0.02342819845638089,-0.03751444210953969
2024-07-31,0.7245963,1,0.7245963,1,Buy,0.4491926431655884,416.76312255859375,-0.01086465253540475,-0.01086465253540475,-0.004963055994823014,-0.06695356669991948,-0.028262971441739837,-0.04234921509489864
2024-08-01,0.7229209,1,0.7229209,1,Buy,0.44584178924560547,415.5278015136719,-0.0029684859375986986,-0.0029684859375986986,-0.0013334220445098393,-0.06971919502103574,-0.029557843519740667,-0.04364408717289947
